uid,source,title,shortTitle,category,lane,sub,overlay,overlayTargetSub,start,endKnown,endInferred,href,timeZone,timeZoneLabel,isFixedTimeZone,isLocal,status,firstSeenAt,lastSeenAt,rawText
ec90e50a72b3051a,leekduck,GO Pass: May,GO Pass: May,GO Pass,go-pass,GO Pass,,,2026-05-05T10:00:00,2026-06-02T10:00:00,,https://leekduck.com/events/go-pass-may-2026,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
0a31067443f1ebe5,leekduck,Shadow Cresselia in Shadow Raids,Shadow Cresselia,Raid Battles,raids,Shadow Raid Battles,,,2026-05-06T00:00:00,2026-06-02T00:00:00,,https://leekduck.com/events/shadow-cresselia-in-shadow-raids-may-june-2026,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
ca0647626c7ecd96,leekduck,Pokemon Fossil Museum - Chicago,Pokemon Fossil Museum - Chicago,Event,theme,Theme Event A,,,2026-05-22T09:00:00,2027-04-11T17:00:00,,https://leekduck.com/events/pokemon-fossil-museum-chicago-2026,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
9a923b0d64abf17b,leekduck,Blanche's Quest for Knowledge,Blanche's Quest for Knowledge,Event,theme,Theme Event A,,,2026-05-26T10:00:00,2026-06-01T20:00:00,,https://leekduck.com/events/blanches-quest-for-knowledge,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
8fb1ef8054092141,leekduck,"Great League, Ultra League, and Master League | Memories in Motion","Great League, Ultra League, and Master League | Memories in Motion",GO Battle League,gbl,GO Battle League,,,2026-05-26T20:00:00Z,2026-06-02T20:00:00Z,,https://leekduck.com/events/gbl-memories-in-motion_great-league_ultra-league_master-league-split-4,America/Los_Angeles,PT,1,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
2b22c40b564423f9,leekduck,Tapu Fini in 5-star Raid Battles,Tapu Fini,Raid Battles,raids,5-Star Raid Battles,,,2026-05-27T00:00:00,2026-06-02T00:00:00,,https://leekduck.com/events/tapu-fini-in-5-star-raid-battles-may-june-2026,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
9b4a97d186ea12f2,leekduck,Mega Medicham in Mega Raids,Mega Medicham,Raid Battles,raids,Mega Raid Battles,,,2026-05-27T06:00:00,2026-06-03T06:00:00,,https://leekduck.com/events/mega-medicham-in-mega-raids-may-june-2026,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
712863bca2c380a5,leekduck,2026: Tokyo,2026: Tokyo,Pokémon GO Fest,theme,Theme Main,,,2026-05-29T01:00:00Z,2026-06-01T11:00:00Z,,https://leekduck.com/events/pokemon-go-fest-2026-tokyo,Asia/Tokyo,JST,1,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
1c6b5c3edecef88d,leekduck,Community Day Vote for August,Community Day Vote for August,Update,community,Community Day,,,2026-05-31T01:00:00Z,2026-06-01T01:00:00,,https://leekduck.com/events/community-day-voting-august-2026,America/Los_Angeles,PDT,1,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
f83fe27ad883966d,leekduck,Dynamax Inkay during Max Monday,Max Inkay,Max Mondays,weekly,Max Mondays,,,2026-06-01T06:00:00,2026-06-01T21:00:00,2026-06-01T21:00:00,https://leekduck.com/events/max-mondays-2026-06-01,local,Local Time,,1,active,2026-05-30T18:53:40Z,2026-05-30T18:53:40Z,
