id,number,name,name_zh_cn,name_zh_tw,name_ja,form,type1,type2,generation,generationGames,goAttack,goDefense,goStamina,goStatsSource,categories,search
1,0001,Bulbasaur,妙蛙种子,妙蛙種子,フシギダネ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,1 Bulbasaur 妙蛙种子 妙蛙種子 フシギダネ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
2,0002,Ivysaur,妙蛙草,妙蛙草,フシギソウ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,2 Ivysaur 妙蛙草 妙蛙草 フシギソウ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
3,0003,Venusaur,妙蛙花,妙蛙花,フシギバナ,,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,3 Venusaur 妙蛙花 妙蛙花 フシギバナ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
3,0003,Venusaur,妙蛙花,妙蛙花,フシギバナ,Mega Venusaur,grass,poison,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,3 Venusaur Mega Venusaur 妙蛙花 妙蛙花 フシギバナ Grass Poison 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
4,0004,Charmander,小火龙,小火龍,ヒトカゲ,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,4 Charmander 小火龙 小火龍 ヒトカゲ Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
5,0005,Charmeleon,火恐龙,火恐龍,リザード,,fire,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,5 Charmeleon 火恐龙 火恐龍 リザード Fire 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
6,0006,Charizard,喷火龙,噴火龍,リザードン,,fire,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,6 Charizard 喷火龙 噴火龍 リザードン Fire Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
6,0006,Charizard,喷火龙,噴火龍,リザードン,Mega Charizard X,fire,dragon,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,6 Charizard Mega Charizard X 喷火龙 噴火龍 リザードン Fire Dragon 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
6,0006,Charizard,喷火龙,噴火龍,リザードン,Mega Charizard Y,fire,flying,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,mega|form_change,6 Charizard Mega Charizard Y 喷火龙 噴火龍 リザードン Fire Flying 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow) mega form_change
7,0007,Squirtle,杰尼龟,傑尼龜,ゼニガメ,,water,,1,红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow),,,,,,7 Squirtle 杰尼龟 傑尼龜 ゼニガメ Water 1 红/绿/蓝/皮卡丘 (Red/Green/Blue/Yellow)
